"code_bureau";"libelle_bureau"
1;"TUNIS C-P"
2;"TUNIS CATHAGE AEROPORT"
3;"BF-TUNIS CARTHA. FRET"
4;"BF - TUNIS PORT"
5;"CRT(DMEF)"
6;"TUNIS P_VIT"
8;"BF - KELIBIA"
9;"BR - ARIANA"
10;"BF - GOULETTE SUD"
11;"BF - BIZERTE PORT"
12;"BF - SOUSSE PORT"
13;"BF - SFAX PORT"
14;"BF - GHARDIMAOU"
15;"BF - BIZERTE-RAFFINERIE"
16;"BF - RADES PORT"
17;"BF - GOULETTE NORD"
18;"BR - ZAGHOUAN"
19;"BR - KAIROUAN"
20;"BR - MAHDIA"
21;"BR - BEN AROUS"
22;"BR - MONASTIR VILLE"
23;"BF - SFAX AEROPORT"
24;"KAIROUAN C-P"
25;"BF - SKANES MONASTIR"
26;"MONASTIR C-P"
27;"BF - SKHIRA"
28;"BF - GABES-GHANOUCH"
29;"BR - SFAX VILLE"
30;"BF - JERBA"
31;"BR - SOUSSE VILLE"
32;"BR - GABES VILLE"
33;"BR - EL KEF"
34;"BF - TABARKA MALOULA"
35;"BF - TABARKA AEROPORT"
36;"BF - TOZEUR-NEFTA"
37;"BR - SILIANA"
38;"BR - BEJA"
39;"BF - TABARKA MARITIME"
40;"BF - BEN GARDANE"
41;"BF - DHIBET"
42;"BF - HEZOUA"
43;"BF - TAMAGHZA"
44;"BR - GAFSA"
45;"BR - SIDI BOUZID"
46;"BF - BOUCHEBKA"
47;"BF-CON.MAD.RADES-PORT"
48;"BF - HIDRA"
49;"BF - KALAAT SNAN"
50;"BF-SAKIET SIDI-YOUS."
51;"BR - NABEUL"
52;"BR - KASSERINE"
53;"BF - ZARZIS PORT"
54;"BR - JENDOUBA"
55;"BR - MEDNINE"
56;"BF - BABOUCH"
57;"BR - TATAOUINE"
58;"JERISSA"
59;"BR - KEBELI"
62;"BR - MANNOUBA"
75;"NABEUL C-P"
76;"SOUSSE C-P"
77;"MAHDIA C-P"
80;"SFAX C-P"
84;"BIZERTE C-P"
87;"BF.P.ACT.ECO.M.BOURGUIB"
91;"DIR REGIONALE TUNIS NORD"
92;"DIR REGIONALE NORD OUEST"
93;"DIR REGIONALE CENTRE EST"
94;"DIR REGIONALE CENTRE OUEST"
95;"DIRECTION REGIONALE SUD"
96;"DIR REGIONALE TUNIS SUD"
97;"BF.P.ACT.ECO.BIZERTE"
99;"BUREAU DE SIMULATION"
7;"BR - BIZERTE"
