"code_devise_n";"code_devise_a";"libelle_devise"
504;"MAD";"D.MAROCAIN"
818;"EGP";"LIVRE EGYPTE"
414;"KWD";"KWITIEN DINAR"
430;"LRD";"DOLLAR LIBERI"
48;"BHD";"DINAR BAHREIN"
340;"HNL";"LEMPIRA HOND."
484;"MXN";"PESO MEXICAIN"
404;"KES";"SHILING KENYA"
788;"TND";"DINAR TUNIS."
442;"LUF";"FRANC LUXEMB."
756;"CHF";"FRANC SUISSE"
280;"DEM";"DEUTCH MARK"
352;"ISK";"C.ISLANDAISE"
894;"ZMK";"KWACHA ZAMBIE"
840;"USD";"DOLLAR USA"
724;"ESP";"PESETA ESPAGN"
558;"NIO";"GORDOBA NICAR"
740;"SRG";"FLORIN SURINA"
332;"HIG";"GOURDE HAITI"
222;"SVC";"COLON SALVADO"
180;"ZRN";"NOUVEAU ZAIRE"
458;"MYR";"DOLLAR MALAIS"
620;"PTE";"ESCUDO PORTU."
368;"IQS";"DINAR IRAKIEN"
784;"AED";"DIRHAM EAU"
12;"DZD";"DINAR ALGERIE"
590;"PAB";"BALBOA PANAMA"
752;"SEK";"C. SUEDOISE"
586;"PKR";"ROUPIE PAKIST"
72;"BWP";"PULA BOTSWANA"
554;"NZD";"DOLLAR NEO.ZE"
320;"GTQ";"QUETZAL GUATE"
218;"ECS";"SUCRE EQUATOR"
634;"QAR";"RYAL QUATARI"
400;"JOD";"DINAR JORDANI"
364;"IRR";"RYAL IRANIEN"
208;"DKK";"COUR.DANOISE"
380;"ITL";"LIRE ITALIE."
300;"GRD";"DRACHME GREC"
682;"SAR";"SAOUDI RIAL"
512;"OMR";"RIAL OMANI"
826;"GBP";"GBRITANG PI"
422;"LBP";"LIVRE LIBAN"
434;"LYD";"LIBIEN DINAR"
56;"BEF";"FRANC BELGE"
886;"YER";"RYAL YEMENI"
890;"YUN";"DINAR YOUGOS."
246;"FIM";"MARK FINLAND."
392;"JPY";"YEN JAPONAIS"
250;"FRF";"FR.FRANCAIS"
108;"BIF";"FRANC BURUNDI"
810;"RUR";"ROUBLE RUSSE"
36;"AUD";"DOLLAR AUSTR."
40;"ATS";"SHIL.AUTRICHE"
214;"DOP";"PESO DOMINIC"
800;"UGX";"SHILING OUGAN"
528;"NLG";"FLORIN HOLL."
156;"CNY";"YUAN CHINOIS"
706;"SOM";"SHILING SOMAL"
978;"EUR";"EURO"
710;"ZAR";"RAND SUD AFRI"
230;"ETB";"BIRR ETHEOPIE"
372;"IEP";"L.IRLANDAISE"
124;"CAD";"DOLAR CANADA"
834;"TZS";"SHILING TANZ"
566;"NGN";"NAIRA NIGERIE"
578;"NOK";"C.NORVEGIENNE"
792;"TRL";"LIRE TURQUE"
388;"JMD";"DOLLAR JAMAIC"
524;"NPR";"ROUPIE NEPAL."
702;"SGD";"DOLLAR SINGAP"
764;"THB";"BATH THAILAND"
478;"MRO";"OUGUIYA MAURI"
